date,name,circulation_a,management_circulation,non_circulation_a,total_a,total
2015/11/10,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/11,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/12,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/13,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/16,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/17,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/18,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/19,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/20,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/23,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/24,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/25,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/26,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/27,浦发银行,18653471415,,0,18653471415,18653471415
2015/11/30,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/1,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/2,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/3,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/4,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/7,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/8,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/9,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/10,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/11,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/14,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/15,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/16,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/17,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/18,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/21,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/22,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/23,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/24,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/25,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/28,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/29,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/30,浦发银行,18653471415,,0,18653471415,18653471415
2015/12/31,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/4,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/5,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/6,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/7,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/8,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/11,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/12,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/13,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/14,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/15,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/18,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/19,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/20,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/21,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/22,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/25,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/26,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/27,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/28,浦发银行,18653471415,,0,18653471415,18653471415
2016/1/29,浦发银行,18653471415,,0,18653471415,18653471415
2016/2/1,浦发银行,18653471415,,0,18653471415,18653471415
2016/2/2,浦发银行,18653471415,,0,18653471415,18653471415
2016/2/3,浦发银行,18653471415,,0,18653471415,18653471415
2016/2/4,浦发银行,18653471415,,0,18653471415,18653471415
2016/2/5,浦发银行,18653471415,,0,18653471415,18653471415
